,Country Code,Region,IncomeGroup,TableName
0,ABW,Latin America & Caribbean,High income,Aruba
2,AFG,South Asia,Low income,Afghanistan
4,AGO,Sub-Saharan Africa,Lower middle income,Angola
5,ALB,Europe & Central Asia,Upper middle income,Albania
6,AND,Europe & Central Asia,High income,Andorra
8,ARE,Middle East & North Africa,High income,United Arab Emirates
9,ARG,Latin America & Caribbean,Upper middle income,Argentina
10,ARM,Europe & Central Asia,Upper middle income,Armenia
11,ASM,East Asia & Pacific,Upper middle income,American Samoa
12,ATG,Latin America & Caribbean,High income,Antigua and Barbuda
13,AUS,East Asia & Pacific,High income,Australia
14,AUT,Europe & Central Asia,High income,Austria
15,AZE,Europe & Central Asia,Upper middle income,Azerbaijan
16,BDI,Sub-Saharan Africa,Low income,Burundi
17,BEL,Europe & Central Asia,High income,Belgium
18,BEN,Sub-Saharan Africa,Lower middle income,Benin
19,BFA,Sub-Saharan Africa,Low income,Burkina Faso
20,BGD,South Asia,Lower middle income,Bangladesh
21,BGR,Europe & Central Asia,Upper middle income,Bulgaria
22,BHR,Middle East & North Africa,High income,Bahrain
23,BHS,Latin America & Caribbean,High income,"Bahamas, The"
24,BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina
25,BLR,Europe & Central Asia,Upper middle income,Belarus
26,BLZ,Latin America & Caribbean,Upper middle income,Belize
27,BMU,North America,High income,Bermuda
28,BOL,Latin America & Caribbean,Lower middle income,Bolivia
29,BRA,Latin America & Caribbean,Upper middle income,Brazil
30,BRB,Latin America & Caribbean,High income,Barbados
31,BRN,East Asia & Pacific,High income,Brunei Darussalam
32,BTN,South Asia,Lower middle income,Bhutan
33,BWA,Sub-Saharan Africa,Upper middle income,Botswana
34,CAF,Sub-Saharan Africa,Low income,Central African Republic
35,CAN,North America,High income,Canada
37,CHE,Europe & Central Asia,High income,Switzerland
38,CHI,Europe & Central Asia,High income,Channel Islands
39,CHL,Latin America & Caribbean,High income,Chile
40,CHN,East Asia & Pacific,Upper middle income,China
41,CIV,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire
42,CMR,Sub-Saharan Africa,Lower middle income,Cameroon
43,COD,Sub-Saharan Africa,Low income,"Congo, Dem. Rep."
44,COG,Sub-Saharan Africa,Lower middle income,"Congo, Rep."
45,COL,Latin America & Caribbean,Upper middle income,Colombia
46,COM,Sub-Saharan Africa,Lower middle income,Comoros
47,CPV,Sub-Saharan Africa,Lower middle income,Cabo Verde
48,CRI,Latin America & Caribbean,Upper middle income,Costa Rica
50,CUB,Latin America & Caribbean,Upper middle income,Cuba
51,CUW,Latin America & Caribbean,High income,Curaçao
52,CYM,Latin America & Caribbean,High income,Cayman Islands
53,CYP,Europe & Central Asia,High income,Cyprus
54,CZE,Europe & Central Asia,High income,Czechia
55,DEU,Europe & Central Asia,High income,Germany
56,DJI,Middle East & North Africa,Lower middle income,Djibouti
57,DMA,Latin America & Caribbean,Upper middle income,Dominica
58,DNK,Europe & Central Asia,High income,Denmark
59,DOM,Latin America & Caribbean,Upper middle income,Dominican Republic
60,DZA,Middle East & North Africa,Lower middle income,Algeria
66,ECU,Latin America & Caribbean,Upper middle income,Ecuador
67,EGY,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep."
69,ERI,Sub-Saharan Africa,Low income,Eritrea
70,ESP,Europe & Central Asia,High income,Spain
71,EST,Europe & Central Asia,High income,Estonia
72,ETH,Sub-Saharan Africa,Low income,Ethiopia
75,FIN,Europe & Central Asia,High income,Finland
76,FJI,East Asia & Pacific,Upper middle income,Fiji
77,FRA,Europe & Central Asia,High income,France
78,FRO,Europe & Central Asia,High income,Faroe Islands
79,FSM,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts."
80,GAB,Sub-Saharan Africa,Upper middle income,Gabon
81,GBR,Europe & Central Asia,High income,United Kingdom
82,GEO,Europe & Central Asia,Upper middle income,Georgia
83,GHA,Sub-Saharan Africa,Lower middle income,Ghana
84,GIB,Europe & Central Asia,High income,Gibraltar
85,GIN,Sub-Saharan Africa,Low income,Guinea
86,GMB,Sub-Saharan Africa,Low income,"Gambia, The"
87,GNB,Sub-Saharan Africa,Low income,Guinea-Bissau
88,GNQ,Sub-Saharan Africa,Upper middle income,Equatorial Guinea
89,GRC,Europe & Central Asia,High income,Greece
90,GRD,Latin America & Caribbean,Upper middle income,Grenada
91,GRL,Europe & Central Asia,High income,Greenland
92,GTM,Latin America & Caribbean,Upper middle income,Guatemala
93,GUM,East Asia & Pacific,High income,Guam
94,GUY,Latin America & Caribbean,Upper middle income,Guyana
96,HKG,East Asia & Pacific,High income,"Hong Kong SAR, China"
97,HND,Latin America & Caribbean,Lower middle income,Honduras
99,HRV,Europe & Central Asia,High income,Croatia
100,HTI,Latin America & Caribbean,Lower middle income,Haiti
101,HUN,Europe & Central Asia,High income,Hungary
106,IDN,East Asia & Pacific,Lower middle income,Indonesia
108,IMN,Europe & Central Asia,High income,Isle of Man
109,IND,South Asia,Lower middle income,India
110,IRL,Europe & Central Asia,High income,Ireland
111,IRN,Middle East & North Africa,Lower middle income,"Iran, Islamic Rep."
